game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_bishop_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
fa016d9f-7dc7-4f63-84f6-1886e7dcafe0,12,6,FirejFox,Bd7,c8d7,c8,d7,B,Black,r2qkbnr/pppbp3/2n4p/1B1p1pp1/3P4/4P1B1/PPP2PPP/RN1QK1NR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,6,6,2,1,1,0,0,0,25,6,4,1,3,0,0,0,0,0,0,0,3,2,5,6,0,0,0,0,3,4,7,25,d4|d5|Bg5|h6|Bh4|g5|Bg3|Nc6|e3|f5|Bb5|Bd7
fa016d9f-7dc7-4f63-84f6-1886e7dcafe0,13,7,Ruhul_Islam_96,Qh5#,d1h5,d1,h5,Q,White,r2qkbnr/pppbp3/2n4p/1B1p1ppQ/3P4/4P1B1/PPP2PPP/RN2K1NR,1,1,0,0,1,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,5,6,2,1,2,0,0,0,16,6,4,1,12,0,0,0,0,0,0,0,3,2,5,6,0,0,0,0,3,4,7,25,d4|d5|Bg5|h6|Bh4|g5|Bg3|Nc6|e3|f5|Bb5|Bd7|Qh5#
46c9d179-3811-4195-80f1-f14bfa7d7347,1,1,Gikappa,d4,d2d4,d2,d4,P,White,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,7,0,1,0,0,0,0,31,7,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,31,d4
46c9d179-3811-4195-80f1-f14bfa7d7347,2,1,FirejFox,d5,d7d5,d7,d5,P,Black,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,7,0,1,0,0,0,0,31,7,0,1,0,0,0,0,0,0,0,0,1,0,7,8,0,0,0,0,1,0,7,31,d4|d5
46c9d179-3811-4195-80f1-f14bfa7d7347,3,2,Gikappa,c4,c2c4,c2,c4,P,White,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,6,0,2,0,0,0,0,31,6,0,2,0,0,0,0,0,0,0,0,1,0,7,8,0,0,0,0,1,0,7,31,d4|d5|c4
46c9d179-3811-4195-80f1-f14bfa7d7347,4,2,FirejFox,Nf6,g8f6,g8,f6,N,Black,rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/8/PP2PPPP/RNBQKBNR,0,0,0,0,0,0,16,16,8,8,1,1,2,2,2,2,2,2,0,0,8,6,0,2,0,0,0,0,31,6,0,2,0,0,0,0,0,0,0,0,1,1,7,7,0,0,0,0,1,3,7,28,d4|d5|c4|Nf6
46c9d179-3811-4195-80f1-f14bfa7d7347,5,3,Gikappa,cxd5,c4d5,c4,d5,P,White,rnbqkb1r/ppp1pppp/5n2/3P4/3P4/8/PP2PPPP/RNBQKBNR,0,0,0,0,0,0,16,15,8,7,1,1,2,2,2,2,2,2,1,0,8,6,0,1,1,0,0,0,31,6,0,1,1,0,0,0,0,0,0,0,0,1,7,7,0,0,0,0,0,3,7,28,d4|d5|c4|Nf6|cxd5
46c9d179-3811-4195-80f1-f14bfa7d7347,6,3,FirejFox,Nxd5,f6d5,f6,d5,N,Black,rnbqkb1r/ppp1pppp/8/3n4/3P4/8/PP2PPPP/RNBQKBNR,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,8,6,0,1,0,0,0,0,31,6,0,1,0,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,3,0,7,28,d4|d5|c4|Nf6|cxd5|Nxd5
46c9d179-3811-4195-80f1-f14bfa7d7347,7,4,Gikappa,e4,e2e4,e2,e4,P,White,rnbqkb1r/ppp1pppp/8/3n4/3PP3/8/PP3PPP/RNBQKBNR,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,8,5,0,2,0,0,0,0,31,5,0,2,0,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,3,0,7,28,d4|d5|c4|Nf6|cxd5|Nxd5|e4
46c9d179-3811-4195-80f1-f14bfa7d7347,8,4,FirejFox,Nf6,d5f6,d5,f6,N,Black,rnbqkb1r/ppp1pppp/5n2/8/3PP3/8/PP3PPP/RNBQKBNR,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,8,5,0,2,0,0,0,0,31,5,0,2,0,0,0,0,0,0,0,0,0,1,7,7,0,0,0,0,0,3,7,28,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6
46c9d179-3811-4195-80f1-f14bfa7d7347,9,5,Gikappa,e5,e4e5,e4,e5,P,White,rnbqkb1r/ppp1pppp/5n2/4P3/3P4/8/PP3PPP/RNBQKBNR,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,8,5,0,1,1,0,0,0,31,5,0,1,1,0,0,0,0,0,0,0,0,1,7,7,0,0,0,0,0,3,7,28,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5
46c9d179-3811-4195-80f1-f14bfa7d7347,10,5,FirejFox,Nd5,f6d5,f6,d5,N,Black,rnbqkb1r/ppp1pppp/8/3nP3/3P4/8/PP3PPP/RNBQKBNR,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,8,5,0,1,1,0,0,0,31,5,0,1,1,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,3,0,7,28,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5
46c9d179-3811-4195-80f1-f14bfa7d7347,11,6,Gikappa,Nc3,b1c3,b1,c3,N,White,rnbqkb1r/ppp1pppp/8/3nP3/3P4/2N5/PP3PPP/R1BQKBNR,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,7,5,1,1,1,0,0,0,28,5,3,1,1,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,3,0,7,28,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3
46c9d179-3811-4195-80f1-f14bfa7d7347,12,6,FirejFox,e6,e7e6,e7,e6,P,Black,rnbqkb1r/ppp2ppp/4p3/3nP3/3P4/2N5/PP3PPP/R1BQKBNR,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,7,5,1,1,1,0,0,0,28,5,3,1,1,0,0,0,0,0,0,0,1,1,6,7,0,0,0,0,3,1,6,28,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6
46c9d179-3811-4195-80f1-f14bfa7d7347,13,7,Gikappa,Nf3,g1f3,g1,f3,N,White,rnbqkb1r/ppp2ppp/4p3/3nP3/3P4/2N2N2/PP3PPP/R1BQKB1R,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,6,5,2,1,1,0,0,0,25,5,6,1,1,0,0,0,0,0,0,0,1,1,6,7,0,0,0,0,3,1,6,28,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3
46c9d179-3811-4195-80f1-f14bfa7d7347,14,7,FirejFox,Bb4,f8b4,f8,b4,B,Black,rnbqk2r/ppp2ppp/4p3/3nP3/1b1P4/2N2N2/PP3PPP/R1BQKB1R,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,6,5,2,1,1,0,0,0,25,5,6,1,1,0,0,0,0,0,0,1,1,1,6,6,0,0,0,3,3,1,6,25,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4
46c9d179-3811-4195-80f1-f14bfa7d7347,15,8,Gikappa,Bd2,c1d2,c1,d2,B,White,rnbqk2r/ppp2ppp/4p3/3nP3/1b1P4/2N2N2/PP1B1PPP/R2QKB1R,0,0,0,0,0,0,15,15,7,7,1,1,2,2,2,2,2,2,1,1,5,6,2,1,1,0,0,0,22,8,6,1,1,0,0,0,0,0,0,1,1,1,6,6,0,0,0,3,3,1,6,25,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4|Bd2
46c9d179-3811-4195-80f1-f14bfa7d7347,16,8,FirejFox,Bxc3,b4c3,b4,c3,B,Black,rnbqk2r/ppp2ppp/4p3/3nP3/3P4/2b2N2/PP1B1PPP/R2QKB1R,0,0,0,0,0,0,14,15,7,7,1,1,2,2,1,2,2,2,1,4,5,6,1,1,1,0,0,0,22,8,3,1,1,0,0,0,0,0,1,0,1,1,6,6,0,0,3,0,3,1,6,25,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4|Bd2|Bxc3
46c9d179-3811-4195-80f1-f14bfa7d7347,17,9,Gikappa,bxc3,b2c3,b2,c3,P,White,rnbqk2r/ppp2ppp/4p3/3nP3/3P4/2P2N2/P2B1PPP/R2QKB1R,0,0,0,0,0,0,14,14,7,7,1,1,2,1,1,2,2,2,4,4,5,5,2,1,1,0,0,0,22,7,4,1,1,0,0,0,0,0,0,0,1,1,6,6,0,0,0,0,3,1,6,25,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4|Bd2|Bxc3|bxc3
46c9d179-3811-4195-80f1-f14bfa7d7347,18,9,FirejFox,Nc6,b8c6,b8,c6,N,Black,r1bqk2r/ppp2ppp/2n1p3/3nP3/3P4/2P2N2/P2B1PPP/R2QKB1R,0,0,0,0,0,0,14,14,7,7,1,1,2,1,1,2,2,2,4,4,5,5,2,1,1,0,0,0,22,7,4,1,1,0,0,0,0,0,0,0,1,2,6,5,0,0,0,0,3,4,6,22,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4|Bd2|Bxc3|bxc3|Nc6
46c9d179-3811-4195-80f1-f14bfa7d7347,19,10,Gikappa,Bd3,f1d3,f1,d3,B,White,r1bqk2r/ppp2ppp/2n1p3/3nP3/3P4/2PB1N2/P2B1PPP/R2QK2R,0,0,0,0,0,0,14,14,7,7,1,1,2,1,1,2,2,2,4,4,4,5,3,1,1,0,0,0,19,7,7,1,1,0,0,0,0,0,0,0,1,2,6,5,0,0,0,0,3,4,6,22,d4|d5|c4|Nf6|cxd5|Nxd5|e4|Nf6|e5|Nd5|Nc3|e6|Nf3|Bb4|Bd2|Bxc3|bxc3|Nc6|Bd3
